GeneID	Length	X1h.m1.t.sort.bam	X1h.m1.u.sort.bam	X1h.m2.t.sort.bam	X1h.m2.u.sort.bam	X1h.m3.t.sort.bam	X1h.m3.u.sort.bam	X6h.m1.t.sort.bam	X6h.m1.u.sort.bam	X6h.m2.t.sort.bam	X6h.m2.u.sort.bam	X6h.m3.t.sort.bam	X6h.m3.u.sort.bam
Gm1553	662	0	0	0	0	0	0	0	0	0	0	0	0
LOC100862390	322	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	748	6	5	9	3	6	4	8	0	15	6	7	7
Tdg	3218	52	49	52	61	84	57	94	41	106	54	68	102
Glt8d2	2153	2	0	2	0	1	0	0	0	0	2	0	0
Hcfc2	2386	90	89	111	80	119	78	145	66	138	103	117	94
Nfyb	2552	36	26	59	49	61	49	48	31	66	43	46	45
1700028I16Rik	1056	0	0	0	0	1	0	0	1	1	0	0	5
Txnrd1	4019	930	1461	1582	1622	1816	1349	2840	853	2008	1195	1575	1846
Eid3	1305	49	46	92	66	77	66	165	40	113	59	87	98
Chst11	5528	219	622	305	555	650	658	680	196	535	269	447	334
Slc41a2	4386	389	374	474	347	372	302	550	226	514	318	430	447
D10Wsu102e	3509	130	119	143	113	141	129	223	63	152	90	116	136
Aldh1l2	6030	0	2	13	13	14	8	0	1	9	0	1	6
A230046K03Rik	5858	671	585	972	759	867	660	1157	430	1158	655	897	871
Appl2	2946	133	131	196	181	248	175	306	109	304	173	159	230
1500009L16Rik	1194	0	0	0	0	0	0	0	0	0	0	0	0
Nuak1	5026	18	13	32	32	34	15	19	23	21	18	29	30
Ckap4	2915	174	111	219	167	207	164	254	125	188	133	171	203
C330046G13Rik	1334	0	0	0	0	0	0	0	1	0	0	0	0
Tcp11l2	2400	13	8	19	15	8	4	13	8	18	8	12	19
Gm17249	2524	2	4	3	2	3	3	14	3	3	1	3	1
Polr3b	4830	133	110	138	86	113	80	199	63	188	116	140	159
Rfx4	4074	0	0	0	0	0	0	0	0	0	0	0	0
Gm6613	555	0	0	0	0	0	0	0	0	0	0	0	0
Ric8b	3069	90	82	124	96	130	94	154	56	124	86	120	115
Fhl4	2670	0	0	1	0	2	3	0	0	0	0	1	4
AI597468	3778	67	75	78	79	88	61	134	48	145	58	88	108
Mterfd3	1567	6	3	4	3	6	3	27	0	4	0	8	5
Cry1	3016	129	85	157	116	119	100	60	46	144	73	113	118
Btbd11	5955	0	0	0	0	0	1	0	0	0	0	2	0
Gm6713	1476	0	0	0	0	0	0	0	0	0	0	0	0
Gm6721	1449	0	0	0	0	0	0	0	0	0	0	0	0
Gm19624	204	0	0	0	0	0	0	0	0	0	0	0	1
Pwp1	2579	136	148	220	157	144	142	327	116	295	143	207	209
Prdm4	3921	95	121	180	130	152	117	139	62	222	110	170	142
Ascl4	1157	0	0	0	0	0	0	0	0	0	0	0	0
D10Wsu52e	1979	281	249	448	310	310	310	306	150	354	209	354	322
Bpifc	2328	62	12	22	12	10	2	18	16	26	27	35	23
Fbxo7	1886	69	68	125	104	98	71	95	39	120	47	90	85
Syn3	11838	0	0	0	0	2	1	0	0	5	0	0	2
4930486F22Rik	564	0	0	0	0	0	0	0	0	0	0	0	0
Timp3	4681	28	80	138	326	112	163	102	55	180	47	118	135
Gm19629	464	0	0	0	0	0	0	0	0	0	0	0	0
Gm6729	1482	0	0	0	0	0	0	0	0	0	0	0	0
Gm5174	1473	0	0	0	0	0	0	0	0	0	0	0	0
1810014B01Rik	1620	17	2	8	5	10	11	25	4	10	5	15	13
Hsp90b1	2759	4455	4355	5894	5091	6049	4906	8618	3293	6399	3789	5809	5301
BC030307	5032	4	0	2	1	5	5	9	1	3	6	3	8
Nt5dc3	5952	107	85	162	120	117	111	221	58	139	90	117	131
Stab2	8133	1	0	2	0	2	0	0	0	2	0	0	0
Tex18	1183	0	0	0	0	0	0	0	0	0	0	0	0
1700113H08Rik	1343	0	0	0	0	0	0	0	0	0	0	0	0
Gm10764	2335	0	0	0	0	0	0	0	0	0	0	0	0
Ascl1	2259	0	0	0	0	0	0	0	0	0	0	0	0
Pah	2143	0	0	0	0	0	0	0	0	0	0	0	0
Igf1	7817	40	65	26	22	107	58	130	65	77	51	56	59
Gm19894	1270	0	0	0	0	6	1	0	8	0	3	4	0
Tyms-ps	1347	0	0	0	0	0	0	0	0	0	0	0	0
Pmch	748	0	0	0	0	0	0	0	0	0	0	0	0
4930547N16Rik	3628	2	0	4	1	4	2	37	1	16	3	10	6
Gm6653	1288	1	0	0	0	1	1	0	0	7	0	1	2
Nup37	1369	26	26	31	29	45	45	20	23	47	26	39	31
Ccdc53	1379	62	46	89	73	93	85	51	56	147	58	100	96
Dram1	2807	517	550	940	800	688	681	928	387	1047	460	837	848
Gnptab	5204	1397	626	1460	728	961	681	1347	428	1164	588	752	823
Sycp3	1122	0	1	2	1	0	1	0	0	0	0	2	0
Chpt1	3411	231	186	432	259	251	197	335	155	467	237	357	421
Mybpc1	3981	0	0	0	0	0	0	0	0	0	0	0	0
Spic	1266	3	4	9	1	7	4	9	5	10	8	3	7
Gm4925	1561	3	0	1	2	1	1	0	0	0	2	3	1
Arl1	842	252	236	331	307	376	289	406	190	456	252	448	312
Utp20	8831	335	348	290	284	316	288	917	219	652	304	421	471
Slc5a8	5331	0	0	0	0	0	0	0	0	0	0	0	0
Ano4	4117	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l3	6748	529	559	730	686	830	639	1140	376	1080	644	802	915
Nr1h4	2340	0	0	0	0	1	0	4	0	2	0	0	1
Slc17a8	4452	1	0	2	1	0	0	0	0	0	3	2	2
Scyl2	3431	176	220	271	285	300	208	289	139	237	173	239	239
Actr6	1703	23	16	34	27	40	36	45	16	42	21	37	51
Uhrf1bp1l	6446	514	383	738	601	753	525	723	252	707	423	541	638
Anks1b	10286	0	0	0	0	0	0	0	0	0	0	1	0
Gm4184	308	0	2	1	1	1	0	0	0	2	0	1	0
Apaf1	6557	490	405	711	610	568	501	598	313	733	398	582	600
Ikbip	4110	41	37	84	63	67	33	86	21	52	30	71	55
Slc25a3	1512	660	578	738	655	628	517	1125	426	924	541	772	872
LOC100861804	464	0	0	0	0	0	0	0	0	0	1	0	2
Tmpo	8127	267	242	439	308	350	281	477	170	510	247	363	381
Gm19998	1051	0	0	3	0	2	0	0	0	0	0	2	4
Mir135a-2	100	0	0	0	0	0	0	0	0	0	0	0	0
Rmst	2687	0	0	0	0	0	0	0	0	0	0	0	0
Mir1251	84	0	0	0	0	0	0	0	0	0	0	0	0
LOC627800	1604	0	0	0	0	0	0	0	0	0	0	0	0
Gm8512	692	0	0	1	0	0	0	0	0	0	0	0	0
Nedd1	3533	96	98	177	107	146	107	250	74	182	97	140	162
Gm872	2199	0	0	0	0	0	0	0	0	0	0	0	0
4930485B16Rik	7399	2	0	1	1	1	1	0	0	5	0	4	1
Cdk17	3643	99	122	170	171	226	169	287	86	294	132	226	255
Mir1931	119	0	3	0	5	6	6	16	0	6	1	3	4
Elk3	4234	404	290	471	349	392	312	578	201	443	268	321	375
Gm17745	855	4	0	0	2	2	1	0	0	3	4	0	0
Lta4h	2066	182	152	207	199	199	168	310	99	266	126	199	227
Hal	2758	819	337	775	407	640	395	825	540	1153	710	999	910
Amdhd1	2421	0	0	0	2	0	3	0	0	0	0	0	1
Ccdc38	3655	0	0	2	0	0	0	0	0	0	0	1	0
Snrpf	813	40	57	47	41	47	37	69	27	30	28	43	34
4933408J17Rik	1859	0	0	0	0	0	0	0	0	0	0	0	0
Ntn4	2411	0	0	0	0	0	2	0	0	0	1	0	0
Gm8580	611	0	0	0	0	0	0	0	0	0	0	0	0
Gm15915	908	0	0	0	0	0	0	0	0	0	0	0	0
Usp44	3957	0	0	0	0	0	0	0	0	0	0	0	0
Metap2	4990	475	435	700	487	556	475	732	315	748	441	637	545
4930471D02Rik	2075	0	0	0	0	0	0	0	0	0	0	0	0
Mir331	96	0	0	0	0	0	0	0	1	2	1	2	1
Vezt	4479	98	86	161	124	167	126	131	75	195	107	132	132
Fgd6	8044	304	325	419	332	393	292	503	181	472	292	341	458
Nr2c1	3827	57	43	70	35	47	51	68	30	79	33	64	68
Ndufa12	561	58	42	69	48	75	47	116	38	82	32	49	52
LOC100861832	322	0	0	0	0	0	0	0	0	0	0	0	0
Gm4792	773	0	0	0	0	0	0	0	0	0	0	0	0
Tmcc3	5889	143	148	420	403	270	259	320	117	415	201	307	349
4932415G12Rik	4135	26	16	33	27	33	23	47	11	17	14	37	24
Ccdc41	2986	159	137	198	189	220	150	401	127	232	163	229	179
Plxnc1	7045	48	66	92	89	165	120	261	122	234	151	179	198
Cradd	1650	3	6	11	5	11	7	6	7	2	6	11	9
2310039L15Rik	642	0	0	0	0	0	0	0	0	0	0	0	0
Socs2	2698	24	58	13	33	55	38	82	21	39	8	45	11
5730420D15Rik	1182	0	1	0	0	1	1	0	0	0	0	0	0
Mrpl42	666	92	79	104	73	107	75	197	44	92	76	119	111
Ube2n	3851	233	244	322	240	310	236	409	162	355	212	323	297
Nudt4	3231	137	110	166	103	161	105	152	74	224	114	162	147
Mir3058	91	0	0	2	0	3	1	0	0	2	1	0	0
Eea1	7836	1133	1124	1475	1189	1515	1206	2096	660	1859	1067	1374	1558
Gm20091	192	0	0	0	0	0	0	0	0	0	0	0	0
Btg1	5010	873	1425	1464	1522	2013	1615	2702	838	2191	1172	1782	1768
4930556N09Rik	1015	0	0	0	0	0	0	0	0	0	0	0	0
Mir3966	85	0	0	0	0	0	0	0	0	0	0	0	0
Dcn	2084	85	99	160	202	143	135	173	37	129	99	92	149
Lum	2075	0	0	0	0	1	0	0	1	0	0	0	0
4930473O22Rik	1465	0	0	0	0	0	0	0	0	0	0	0	0
Kera	1950	0	0	0	0	0	0	0	0	0	0	0	0
Epyc	1723	0	0	0	0	0	0	0	0	0	0	0	0
Gm10754	1633	0	0	0	0	0	0	0	0	0	0	0	0
4921510H08Rik	1868	0	0	0	0	0	0	0	0	0	0	0	0
C030005K15Rik	1882	0	0	0	0	0	0	0	0	0	0	0	0
Gm8633	551	0	0	0	0	1	0	0	0	0	0	0	0
Atp2b1	7130	678	664	830	713	997	771	1450	471	1137	631	852	887
Poc1b	2727	55	55	89	59	48	48	94	27	67	50	57	59
Galnt4	5113	61	37	88	44	86	39	123	57	109	78	107	75
LOC100861874	277	0	0	0	0	1	0	0	0	0	0	0	0
Dusp6	2797	132	127	103	108	278	167	180	138	164	158	187	178
Gm20110	2095	0	0	0	0	0	0	0	0	0	0	0	0
Gm18409	2506	0	0	0	1	0	0	0	0	0	0	0	0
Csl	1954	0	0	0	0	0	1	0	0	0	0	0	1
Kitl	5450	9	24	55	49	34	23	27	5	25	28	26	48
Gm4301	914	0	0	0	0	0	0	0	0	0	0	0	0
Gm4302	927	0	0	0	0	0	0	0	0	0	0	0	0
Gm4303	910	0	0	0	0	0	0	0	0	0	0	0	0
Gm4305	910	0	0	0	0	0	0	0	0	0	0	0	0
Gm4307	910	0	0	0	0	0	0	0	0	0	0	0	0
Gm4312	914	0	0	0	0	0	0	0	0	0	0	0	0
Tmtc3	6630	194	179	247	198	222	180	446	127	355	185	249	310
Cep290	8006	159	102	190	146	164	149	173	86	212	131	155	201
4930430F08Rik	2419	51	37	59	55	59	41	63	27	64	40	74	60
1700017N19Rik	1690	0	0	0	0	0	0	0	0	0	0	0	0
Mgat4c	4760	0	0	0	0	0	0	0	0	0	0	0	0
Mir3059	81	0	0	0	0	0	0	0	0	0	0	0	0
Nts	1180	0	0	0	0	0	1	27	2	1	0	1	3
Rassf9	2118	0	0	0	0	0	0	0	0	0	0	0	0
Alx1	2493	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq1	5293	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a15	3644	1	1	0	1	4	3	0	0	0	0	0	0
LOC100861880	927	0	0	0	0	0	0	0	0	0	0	0	0
LOC100861891	927	0	0	0	0	0	0	0	0	0	0	0	0
LOC100861901	927	0	0	0	0	0	0	0	0	0	0	0	0
LOC637578	927	0	0	0	0	0	0	0	0	0	0	0	0
Gm4340	1258	0	0	0	0	0	0	0	0	0	0	0	0
Tmtc2	5673	15	21	21	42	17	25	97	20	58	13	42	40
Gm15663	3204	3	5	1	0	2	1	0	0	1	1	2	3
BC067068	2039	23	39	34	37	32	31	38	21	57	37	44	53
Ccdc59	1078	85	78	111	90	106	66	131	63	124	63	134	116
Gm7263	567	0	0	0	0	0	0	0	0	0	0	0	0
C230021G24Rik	3879	0	0	0	0	0	0	0	0	0	0	0	0
Ppfia2	6437	0	0	0	0	0	0	0	0	0	0	0	0
Acss3	3104	0	0	0	0	0	0	0	0	0	0	0	0
Lin7a	5964	0	0	0	0	0	0	0	0	0	0	0	0
Myf5	2083	0	0	0	0	0	0	0	0	0	0	0	0
Myf6	1248	0	0	0	0	0	0	0	0	0	0	0	0
Ptprq	7058	0	0	0	0	0	0	0	0	0	0	0	0
Otogl	6984	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r12a	3403	378	358	505	427	528	425	816	292	633	359	431	470
Pawr	1828	0	0	0	0	0	2	0	2	0	0	0	0
Syt1	4820	0	0	0	0	0	0	0	0	0	0	0	0
Gm5136	1117	0	0	0	0	0	0	0	0	0	0	0	0
Nav3	7782	0	1	1	4	1	5	0	2	8	3	1	3
9230102K24Rik	1303	0	0	0	0	0	0	0	0	0	0	0	0
E2f7	5476	0	1	0	0	3	0	3	2	7	0	3	3
1700020G17Rik	610	0	0	0	0	0	0	0	0	0	0	0	0
Csrp2	889	16	19	19	23	16	15	28	11	21	14	17	23
Zdhhc17	4549	102	115	149	131	168	111	239	70	220	112	175	162
Gm5428	930	128	109	180	125	134	127	119	74	128	75	99	120
Osbpl8	7152	1863	2602	2427	2394	3596	2447	4265	1479	3301	2234	2837	2948
Bbs10	2753	7	10	18	17	25	7	18	6	23	9	16	12
Nap1l1	4094	290	375	364	407	387	348	705	246	576	315	461	454
Gm5176	558	0	0	0	1	2	1	0	0	0	0	0	4
Phlda1	1953	79	121	60	67	130	108	220	82	109	71	94	124
4933440J02Rik	1144	0	0	0	0	0	0	0	0	0	0	0	0
LOC629206	2171	0	0	0	0	0	0	0	0	0	0	0	0
Krr1	4990	183	131	195	130	181	146	202	90	210	102	190	171
Glipr1	1081	246	231	291	188	324	223	592	219	432	350	467	494
Glipr1l1	896	0	0	0	0	0	0	0	0	0	0	0	0
Glipr1l2	1879	0	0	0	0	0	0	0	0	0	0	0	0
Glipr1l3	711	0	0	0	0	0	0	0	0	0	0	0	0
Caps2	2760	0	0	0	0	0	0	0	0	0	0	0	0
Kcnc2	6196	0	0	0	0	0	0	0	0	0	0	0	0
1700010J16Rik	887	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7l3b	3599	170	178	239	225	253	176	221	139	327	161	276	244
Trhde	5722	0	0	0	0	0	0	0	0	0	0	0	2
Tph2	2626	1	0	0	0	0	0	0	0	0	0	0	3
LOC100861951	889	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d15	3779	257	243	426	289	329	244	423	93	467	272	329	400
Gm8942	426	7	2	1	3	7	5	1	6	1	3	3	2
Rab21	1824	448	349	612	447	505	416	539	209	530	335	510	503
Gm10752	729	0	4	0	0	0	0	0	0	0	1	1	0
Tmem19	3010	134	152	166	112	149	123	142	74	200	120	118	138
Thap2	3408	30	32	43	37	45	23	66	18	42	36	32	28
Zfc3h1	6956	705	555	800	631	842	539	1262	354	871	525	693	763
Lgr5	4711	0	0	0	0	0	0	0	0	0	0	0	0
LOC100861970	721	0	0	0	0	0	0	0	0	0	0	0	0
A930009A15Rik	1007	0	0	0	0	0	0	0	0	0	0	0	0
Tspan8	1522	0	0	0	0	0	0	0	0	0	0	0	0
Ptprr	4031	0	0	0	0	0	0	0	0	0	0	0	0
4933416C03Rik	2254	0	0	0	0	0	0	0	0	0	0	0	0
Ptprb	11912	0	0	0	0	0	0	0	0	0	0	0	0
Kcnmb4	1005	0	0	0	0	0	0	0	0	0	0	0	0
1700058G18Rik	753	0	0	0	0	0	0	0	0	0	0	0	0
4933400F03Rik	511	0	0	0	0	0	0	0	0	0	0	0	0
Cnot2	3483	176	166	275	183	244	180	368	124	272	183	247	267
LOC100504423	1390	1	2	1	3	2	1	0	0	2	0	2	1
1700030O20Rik	594	0	0	0	0	0	0	0	0	0	0	0	0
Gm239	3114	0	0	0	2	0	0	0	0	0	0	1	0
Rab3ip	2690	56	64	111	99	91	81	141	43	133	51	105	95
4933412E12Rik	1724	11	9	102	72	44	37	0	9	44	20	49	59
D630029K05Rik	2383	0	0	0	1	3	0	0	0	0	0	0	0
Gm5781	612	0	0	0	0	0	0	0	0	0	0	0	0
Best3	2719	0	0	0	0	1	0	0	0	0	0	0	0
Gm10747	1014	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc10	1428	0	0	0	0	0	0	0	0	0	0	0	0
LOC100862026	571	0	0	0	0	0	0	0	0	1	1	0	2
Cct2	1962	696	601	864	670	743	659	1170	432	956	617	932	787
Frs2	5684	153	158	245	206	245	192	152	102	266	157	148	160
Yeats4	1408	70	80	62	73	70	62	164	57	105	62	122	79
9530003J23Rik	1219	0	0	0	0	0	0	0	0	0	0	0	0
Lyz2	1057	17786	15402	20061	14039	16015	13951	39866	17984	32033	20075	25521	29017
Lyz1	1265	121	79	182	110	98	84	294	117	178	82	122	320
Cpsf6	6534	400	325	475	377	474	372	572	232	640	337	453	532
Cpm	5195	1	0	0	0	1	0	0	0	0	1	0	0
Mdm2	3027	830	873	1656	1633	1267	1010	1334	504	1640	1004	1404	1713
Slc35e3	3483	68	69	77	51	94	56	169	38	97	47	79	110
Nup107	3092	59	48	59	41	68	52	76	32	56	35	70	75
LOC100862040	1467	0	0	1	0	1	0	0	3	8	3	8	6
Rap1b	1937	1497	1317	2365	1777	2100	1537	2639	1113	2676	1816	2248	2361
4933411E08Rik	1704	0	0	0	0	0	0	0	0	0	0	0	0
Mdm1	3151	34	13	35	26	31	28	47	10	35	32	39	29
Il22	1088	1	0	14	34	8	8	46	3	10	7	5	9
Iltifb	1111	0	0	7	13	3	5	16	2	7	1	2	5
Gm9040	2567	10	5	6	11	5	6	10	6	13	13	5	18
Gm9044	2552	6	4	10	15	6	8	7	2	15	13	9	8
Gm9045	2552	4	9	16	13	10	11	5	7	28	15	13	16
Gm9046	2552	7	2	6	11	7	11	4	6	17	7	8	12
Gm9048	2552	7	9	10	7	3	6	5	7	15	10	7	15
Gm9049	3161	8	9	15	9	8	19	7	10	19	13	13	15
Ifng	1207	0	0	20	60	13	4	0	2	15	1	9	21
Dyrk2	2137	70	68	154	90	97	71	180	58	194	109	128	173
Gm10744	2706	0	0	0	0	0	0	8	1	0	1	2	0
C78653	1940	0	0	0	0	0	0	0	0	0	0	0	0
1700064J06Rik	386	0	0	0	0	0	0	0	0	0	0	0	0
Cand1	8209	418	350	522	425	448	347	545	238	586	353	382	458
1700025F24Rik	894	0	0	0	0	0	0	0	0	0	0	0	0
Grip1	3641	0	0	0	0	0	0	0	0	0	0	0	0
4930564G21Rik	723	0	0	0	0	0	0	0	0	0	0	0	0
Helb	4532	142	123	218	160	202	159	270	73	186	108	133	158
Irak3	2969	1060	946	1125	841	1235	926	1737	770	1405	866	1138	1154
Tmbim4	808	177	198	510	426	311	289	340	129	329	185	328	292
Gm20282	927	0	0	0	0	0	0	0	0	0	0	1	0
Llph	1162	133	159	140	166	171	160	294	118	237	112	189	150
Hmga2	4176	23	10	23	7	17	7	20	10	13	32	12	45
1700006J14Rik	1115	2	1	1	3	6	1	2	2	2	0	5	1
9230105E05Rik	2250	0	0	0	0	0	0	0	0	0	0	0	0
Mir763	120	1	0	1	0	1	0	10	0	0	0	0	1
Gm10743	2358	0	0	0	0	0	0	0	0	0	0	0	0
4921513I03Rik	1749	0	0	0	0	0	0	0	0	0	0	0	0
Msrb3	3709	4	2	7	3	6	2	8	2	2	3	7	6
Gm15910	2973	2	1	2	1	0	0	0	1	5	0	0	1
Lemd3	4743	94	105	188	176	198	149	274	71	279	120	181	186
Wif1	2242	0	0	0	0	0	0	0	0	0	0	0	0
Gm20323	1260	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d30	5696	2	2	1	0	1	1	3	0	2	0	2	0
Gns	3855	4401	3207	5598	4024	4103	3479	6340	2488	6165	3412	5024	4955
Rassf3	3425	95	99	169	155	167	122	123	60	179	85	144	156
Tbk1	3031	880	842	1428	1089	1222	949	1271	591	1482	875	1098	1279
Xpot	5989	286	262	368	311	327	255	515	179	426	235	339	382
D930020B18Rik	3427	0	1	0	0	0	0	0	0	0	0	0	0
BC048403	3117	41	38	62	46	53	50	73	34	86	64	43	93
Srgap1	7821	26	21	46	42	29	31	75	16	46	13	32	21
Gm4801	1479	0	0	0	0	0	0	0	1	0	0	0	0
Gm9079	1768	3	9	7	6	9	4	26	4	16	20	6	7
Tmem5	1378	86	98	159	92	137	119	217	72	185	123	187	170
Gm4489	520	0	0	0	0	0	0	0	0	0	0	0	0
Avpr1a	2671	0	0	0	0	0	0	0	0	0	0	0	0
A130077B15Rik	2547	2	4	5	1	4	1	0	3	2	2	5	5
Ppm1h	7518	311	384	396	315	436	300	635	232	449	287	343	389
Mirlet7i	85	0	0	0	0	0	2	4	2	11	7	4	1
Mon2	9303	439	384	571	441	497	392	700	266	590	431	438	556
Usp15	3215	408	410	550	550	546	442	676	300	650	347	528	571
Gm4129	420	0	0	0	0	0	0	0	0	0	0	0	0
Fam19a2	4610	1	1	3	6	3	2	8	0	11	0	8	4
LOC100505018	1023	0	0	0	0	0	0	0	0	0	0	0	0
4930503E24Rik	1333	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a7	2419	59	47	65	43	67	55	66	23	75	42	71	73
Lrig3	4050	4	0	2	0	3	0	8	1	2	0	2	0
Xrcc6bp1	1366	5	8	7	10	9	6	10	5	2	8	6	8
Ctdsp2	5065	163	161	328	228	279	240	347	116	279	183	230	272
Mir26a-2	84	0	0	1	0	0	1	0	0	0	3	0	0
Mir546	121	0	0	0	0	0	0	0	0	0	0	0	0
Avil	3033	0	4	1	1	2	3	6	0	1	2	0	2
Tsfm	1180	48	38	39	37	28	36	67	31	37	31	73	51
LOC100504608	699	0	0	0	0	0	0	7	0	0	3	0	1
Mettl1	887	33	27	22	29	18	10	26	10	33	10	33	22
Cyp27b1	2421	0	0	2	0	0	1	0	0	0	1	3	3
March9	1998	8	6	15	13	10	9	14	6	9	12	11	13
Cdk4	1347	283	214	309	242	317	256	314	142	375	226	285	321
Tspan31	1543	340	334	511	395	401	342	562	187	473	232	336	449
A730063M14Rik	329	5	1	0	5	1	0	0	1	3	2	0	2
Agap2	5633	3	6	9	10	10	9	0	1	9	5	7	7
Os9	4049	612	542	879	729	710	623	1020	410	822	457	678	690
B4galnt1	3289	135	101	121	101	143	92	285	69	140	65	106	111
Slc26a10	2215	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef25	2387	0	5	7	3	5	2	0	5	2	1	6	1
Dtx3	1944	109	84	144	113	131	79	134	42	133	75	82	111
F420014N23Rik	2552	0	0	0	1	2	1	0	0	0	0	1	1
Pip4k2c	3374	251	263	373	289	301	263	351	155	350	243	307	315
Kif5a	7006	1	3	8	4	12	1	9	2	1	2	5	3
Dctn2	1933	261	290	424	324	339	293	373	187	379	247	352	308
Mbd6	4046	126	100	138	99	168	102	164	71	151	72	103	128
Ddit3	871	29	46	100	121	77	59	49	28	100	24	63	56
Mars	2963	124	108	146	128	134	128	180	88	177	74	133	160
Arhgap9	1811	138	134	183	152	148	146	269	107	236	105	172	133
Gli1	3662	0	0	0	0	1	0	0	0	0	0	0	0
Inhbe	2135	0	0	0	0	0	0	0	0	0	0	0	0
Inhbc	1969	0	0	0	0	0	0	0	0	0	0	0	0
R3hdm2	4530	334	370	469	394	476	375	665	233	562	337	395	455
Stac3	1790	2	3	2	1	7	3	1	5	0	3	5	7
Ndufa4l2	962	0	0	2	2	1	2	0	0	0	0	0	0
Shmt2	2305	54	41	56	43	57	39	47	26	51	22	47	69
Nxph4	1675	0	0	0	0	0	0	0	0	0	0	0	0
Lrp1	14892	6391	6449	7137	6084	8745	6477	10219	3607	7725	4488	5521	6757
Stat6	3805	490	468	792	654	664	566	924	300	756	433	536	572
Nab2	2575	25	49	66	73	69	53	128	61	116	62	95	100
1700012D01Rik	695	6	2	0	1	5	1	0	1	3	3	3	0
Tmem194	6515	48	42	51	41	57	41	75	13	61	20	36	49
Myo1a	3353	0	0	0	0	1	1	0	0	1	0	2	0
Tac2	884	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb39	5960	30	47	75	42	51	63	60	27	45	54	46	71
Gpr182	1694	0	0	0	0	0	0	0	0	0	0	0	0
Rdh1	3890	5	2	2	2	4	2	0	4	0	3	0	0
Rdh9	2698	0	1	0	3	3	1	0	0	0	2	0	0
Rdh16	3208	0	0	0	0	0	1	0	0	0	0	0	0
Rdh18-ps	3648	0	0	0	0	0	0	0	0	0	0	0	0
Rdh19	1889	0	0	0	0	0	0	0	0	0	0	0	0
BC089597	1265	0	0	0	0	0	0	0	0	0	0	0	0
Rdh7	1608	0	0	0	0	0	0	0	0	0	0	0	0
Sdr9c7	2851	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b6	1459	0	0	0	0	0	0	0	0	0	0	0	0
Prim1	1533	23	21	41	28	20	28	57	23	38	26	34	26
Naca	7034	549	473	626	488	640	482	957	386	722	475	722	698
Ptges3	1954	500	485	695	571	630	516	933	356	726	444	740	626
LOC100862107	1045	0	2	0	0	0	0	0	1	0	0	3	1
Atp5b	1879	1739	1626	2169	1822	1792	1557	2926	1150	2599	1381	2097	1913
Mir677	78	0	1	0	0	0	0	0	0	0	0	2	0
Baz2a	8369	488	383	823	656	751	613	739	316	730	447	557	648
Rbms2	5609	155	129	180	149	185	109	161	68	162	91	120	127
Gls2	2460	0	0	1	4	0	0	0	0	0	0	0	1
Spryd4	1570	23	38	36	29	36	18	71	12	16	29	26	29
Mip	2143	0	0	0	0	0	0	0	0	0	0	0	0
Timeless	4515	11	12	19	17	15	5	28	6	9	12	14	13
Apon	1618	0	0	1	0	0	0	0	0	0	1	0	0
Apof	1930	0	0	0	0	0	0	0	0	0	0	0	0
Stat2	4394	404	473	1739	1692	982	948	635	325	1327	749	1006	1252
Il23a	1359	2	2	0	0	2	1	13	0	0	3	0	0
Pan2	4450	43	44	49	42	65	44	54	18	60	33	41	71
Cnpy2	1017	65	63	84	70	93	79	85	65	118	52	110	64
Cs	2828	568	572	740	565	663	561	990	348	721	444	617	652
Coq10a	2507	55	34	38	41	50	50	43	36	65	55	67	52
Ankrd52	6615	536	442	577	486	614	467	754	309	654	375	410	570
Slc39a5	2144	1	0	0	0	0	0	0	0	0	0	0	0
Obfc2b	1052	70	74	102	50	71	53	98	38	57	51	64	69
Rnf41	4377	184	173	244	187	206	180	231	139	260	165	181	215
Smarcc2	5028	497	463	698	556	675	571	764	332	769	418	535	668
Myl6	614	944	948	1136	1017	1042	908	1345	656	1103	715	1147	988
Myl6b	1026	3	2	4	4	9	2	0	0	5	1	5	7
LOC100502705	2004	9	5	12	5	8	12	15	1	14	4	6	6
Esyt1	3687	656	561	713	604	752	589	833	440	687	557	646	637
Zc3h10	2091	44	34	71	68	63	60	18	25	74	42	62	54
Rpl41	449	1099	1031	1238	1067	1156	1040	1163	686	865	541	951	788
Pa2g4	2432	270	223	336	300	278	247	367	200	303	169	280	315
Erbb3	4020	10	19	22	17	17	16	12	5	26	7	20	20
Gm9182	639	0	0	0	3	0	0	0	0	0	0	0	0
Rps26	448	386	338	470	412	456	374	821	410	912	485	902	563
Ikzf4	3580	0	11	7	4	13	10	18	2	2	3	6	4
Suox	2349	16	16	23	9	9	13	6	7	13	5	7	8
